TAIR Accession,Locus,Gene Type,Description,Other Name(Type),manual_classification,Keywords
Locus:505006203,AT1G65295,protein_coding,ubiquitin carboxyl-terminal hydrolase;(source:Araport11),N/A,no_family,"extracellular region;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:1006230173,AT2G41905,protein_coding,transmembrane protein;(source:Araport11),N/A,no_family,"plasma membrane;molecular_function;guard cell,"
Locus:2176352,AT5G22280,protein_coding,peptidyl-prolyl cis-trans isomerase G;(source:Araport11),N/A,no_family,"biological_process;mitochondrion;nucleus;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:504956325,AT1G61255,protein_coding,hypothetical protein;(source:Araport11),N/A,no_family,"extracellular region;molecular_function;guard cell,"
Locus:2123683,AT4G28290,protein_coding,hypothetical protein;(source:Araport11),N/A,no_family,"chloroplast;molecular_function;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2079701,AT3G07460,protein_coding,"transmembrane protein; putative (Protein of unknown function, DUF538);(source:Araport11)",N/A,no_family,"extracellular region;plant-type vacuole;secretory vesicle;molecular_function;guard cell;rosette leaf,"
Locus:2084893,AT3G04640,protein_coding,glycine-rich protein;(source:Araport11),N/A,no_family,"cellular response to hypoxia;membrane;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot apex;stamen;stem;vascular leaf,"
Locus:2081541,AT3G11780,protein_coding,MD-2-related lipid recognition domain-containing protein / ML domain-containing protein;(source:Araport11),N/A,no_family,"sterol transport;extracellular region;plant-type vacuole;secretory vesicle;sterol binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:504955292,AT4G25433,protein_coding,peptidoglycan-binding LysM domain-containing protein;(source:Araport11),N/A,no_family,"extracellular region;molecular_function;guard cell,"
Locus:4515103021,AT3G03828,protein_coding,transmembrane protein;(source:Araport11),N/A,no_family,"biological_process;extracellular region;molecular_function,"
Locus:1009023178,AT2G19802,protein_coding,transmembrane protein;(source:Araport11),N/A,no_family,"extracellular region;molecular_function,"
Locus:5019474680,AT2G02498,protein_coding,transmembrane protein;(source:Araport11),N/A,no_family,"biological_process;cellular_component;molecular_function,"
Locus:504955991,AT2G07776,protein_coding,hypothetical protein;(source:Araport11),N/A,no_family,"biological_process;mitochondrion;molecular_function;guard cell,"
Locus:505006259,AT2G20595,protein_coding,highly expressed in the female gametophyte  central cell and expressed at low levels in the egg and synergids,N/A,no_family,"biological_process;extracellular region;molecular_function;flowering stage;plant embryo globular stage;embryo sac central cell;flower pedicel;plant egg cell;plant embryo;sepal;synergid,"
Locus:1009023230,AT2G36724,protein_coding,transmembrane protein;(source:Araport11),N/A,no_family,"cellular_component;molecular_function,"
Locus:2155899,AT5G49280,protein_coding,hydroxyproline-rich glycoprotein family protein;(source:Araport11),N/A,no_family,"membrane;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2172094,AT5G54530,protein_coding,"serine protease; putative (Protein of unknown function, DUF538);(source:Araport11)",N/A,no_family,"chloroplast;molecular_function;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;collective leaf structure;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;petal;petiole;plant embryo;plant sperm cell;root;seed;sepal;shoot apex;stem;vascular leaf,"
Locus:2174093,AT5G62150,protein_coding,peptidoglycan-binding LysM domain-containing protein;(source:Araport11),N/A,no_family,"mitochondrion;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;flowering stage;petal differentiation and expansion stage;vascular leaf senescent stage;cauline leaf;collective leaf structure;endosperm;flower;flower pedicel;guard cell;inflorescence meristem;leaf lamina base;petal;plant sperm cell;pollen;root;sepal;shoot apex;stamen;stem;vascular leaf,"
Locus:504956334,AT5G07475,protein_coding,Cupredoxin superfamily protein;(source:Araport11),N/A,no_family,"plasma membrane;extracellular region;membrane;electron transfer activity,"
Locus:2119043,AT4G21740,protein_coding,transmembrane protein;(source:Araport11),N/A,no_family,"mitochondrion;molecular_function;guard cell;cell-to-cell mobile RNA,"
Locus:2121031,AT4G38080,protein_coding,hydroxyproline-rich glycoprotein family protein;(source:Araport11),N/A,no_family,"biological_process;cellular_component;molecular_function;plant embryo globular stage;guard cell;hypocotyl;plant embryo;root,"
Locus:2130115,AT4G16140,protein_coding,proline-rich family protein;(source:Araport11),N/A,no_family,"membrane;nucleus;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:505006187,AT1G55265,protein_coding,"DUF538 family protein; putative (Protein of unknown function, DUF538);(source:Araport11)",N/A,no_family,"extracellular region;plant-type vacuole;secretory vesicle;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:505006157,AT1G30515,protein_coding,GATA zinc finger protein;(source:Araport11),N/A,no_family,"cellular_component;molecular_function;LP.04 four leaves visible stage;LP.12 twelve leaves visible stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;carpel;cauline leaf;collective leaf structure;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;petal;petiole;plant embryo;root;seed;shoot apex;stamen;stem;vascular leaf,"
Locus:505006197,AT1G61667,protein_coding,"serine protease; putative (Protein of unknown function, DUF538);(source:Araport11)",N/A,no_family,"chloroplast;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;cell-to-cell mobile RNA,"
Locus:505006217,AT1G70985,protein_coding,hydroxyproline-rich glycoprotein family protein;(source:Araport11),N/A,no_family,"biological_process;membrane;molecular_function;LP.04 four leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;cotyledon;guard cell;vascular leaf,"
Locus:2144078,AT5G06480,protein_coding,Immunoglobulin E-set superfamily protein;(source:Araport11),N/A,no_family,"sterol transport;chloroplast;sterol binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:505006331,AT3G06035,protein_coding,Glycoprotein membrane precursor GPI-anchored;(source:Araport11),N/A,no_family,"cytosol;membrane;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2143498,AT5G03120,protein_coding,transmembrane protein;(source:Araport11),N/A,no_family,"extracellular region;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2182152,AT5G19240,protein_coding,Glycoprotein membrane precursor GPI-anchored;(source:Araport11),N/A,no_family,"cellular response to hypoxia;extracellular region;plastid;molecular_function;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;cell-to-cell mobile RNA,"
Locus:2129720,AT4G14420,protein_coding,HR-like lesion-inducing protein-like protein;(source:Araport11),N/A,no_family,"Golgi apparatus;endoplasmic reticulum;molecular_function;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant callus;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2047369,AT2G24810,protein_coding,Pathogenesis-related thaumatin superfamily protein;(source:Araport11),N/A,no_family,"biological_process;extracellular region;molecular_function,"
Locus:1006230727,AT1G21395,protein_coding,transmembrane protein;(source:Araport11),N/A,no_family,"biological_process;mitochondrion;molecular_function,"
Locus:1009023142,AT1G12064,protein_coding,transmembrane protein;(source:Araport11),N/A,no_family,"extracellular region;molecular_function,"
Locus:4515102532,AT1G14455,protein_coding,hypothetical protein;(source:Araport11),N/A,no_family,"cellular_component;molecular_function,"
Locus:2018067,AT1G62220,protein_coding,transmembrane protein;(source:Araport11),N/A,no_family,"mucilage biosynthetic process;seed coat development;extracellular region;molecular_function;seed coat,"
Locus:2030337,AT1G72060,protein_coding,serine-type endopeptidase inhibitor;(source:Araport11),N/A,no_family,"response to oxidative stress;extracellular region;serine-type endopeptidase inhibitor activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2079601,AT3G07470,protein_coding,DUF538 protein,N/A,no_family,"extracellular region;plant-type vacuole;secretory vesicle;molecular_function;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2081368,AT3G44100,protein_coding,MD-2-related lipid recognition domain-containing protein;(source:Araport11),N/A,no_family,"sterol transport;cytosol;extracellular region;membrane;plant-type cell wall;plant-type vacuole;secretory vesicle;sterol binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;seedling development stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2095218,AT3G23760,protein_coding,transferring glycosyl group transferase;(source:Araport11),N/A,no_family,"extracellular region;plant-type vacuole;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2083373,AT3G06750,protein_coding,hydroxyproline-rich glycoprotein family protein;(source:Araport11),N/A,no_family,"membrane;nucleus;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2056730,AT2G03040,protein_coding,emp24/gp25L/p24 family/GOLD family protein;(source:Araport11),N/A,no_family,"Golgi organization;endoplasmic reticulum to Golgi vesicle-mediated transport;intracellular protein transport;COPII-coated ER to Golgi transport vesicle;Golgi apparatus;endoplasmic reticulum;endoplasmic reticulum-Golgi intermediate compartment;chloroplast;molecular_function;pollen tube cell,"
Locus:2011025,AT1G54860,protein_coding,Glycoprotein membrane precursor GPI-anchored;(source:Araport11),N/A,no_family,"biological_process;extracellular region;membrane;molecular_function;flowering stage;petal differentiation and expansion stage;collective leaf structure;flower;petal;sepal,"
Locus:505006106,AT1G07135,protein_coding,glycine-rich protein;(source:Araport11),N/A,no_family,"cellular response to hypoxia;membrane;molecular_function;guard cell,"
Locus:2201175,AT1G23050,protein_coding,hydroxyproline-rich glycoprotein family protein;(source:Araport11),N/A,no_family,"membrane;molecular_function;petal differentiation and expansion stage;flower;guard cell;inflorescence meristem;stem,"
Locus:4515103274,AT3G57062,protein_coding,transmembrane protein;(source:Araport11),N/A,no_family,"cellular_component;molecular_function;guard cell,"
Locus:504955616,AT3G44716,protein_coding,hypothetical protein;(source:Araport11),N/A,no_family,"biological_process;mitochondrion;molecular_function;guard cell,"
Locus:2030220,AT1G72600,protein_coding,hydroxyproline-rich glycoprotein family protein;(source:Araport11),N/A,no_family,"cellular_component;molecular_function;guard cell,"
Locus:2206100,AT1G42480,protein_coding,TLR4 regulator/MIR-interacting MSAP protein;(source:Araport11),N/A,no_family,"nucleus;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;synergid;vascular leaf,"
Locus:4010714074,AT5G63225,protein_coding,glycosyl hydrolase family protein 17,N/A,no_family,"biological_process;extracellular region;molecular_function,"
Locus:4515103143,AT3G27416,protein_coding,transmembrane protein;(source:Araport11),N/A,no_family,"plasma membrane;molecular_function;guard cell,"
Locus:6530298200,AT3G21351,protein_coding,transmembrane protein;(source:Araport11),N/A,no_family,"biological_process;extracellular region;molecular_function;guard cell,"
Locus:2177654,AT5G64820,protein_coding,transmembrane protein;(source:Araport11),N/A,no_family,"biological_process;cellular_component;molecular_function,"
Locus:2161927,AT5G63230,protein_coding,glycosyl hydrolase family protein 17,N/A,no_family,"biological_process;extracellular region;molecular_function,"
Locus:4010713683,AT2G35765,protein_coding,hypothetical protein;(source:Araport11),N/A,no_family,"biological_process;extracellular region;molecular_function,"
Locus:2131979,AT4G30670,protein_coding,Putative membrane lipoprotein;(source:Araport11),N/A,no_family,"mitochondrion;molecular_function;flowering stage;petal differentiation and expansion stage;carpel;collective leaf structure;flower;guard cell;hypocotyl;inflorescence meristem;petal;plant sperm cell;pollen;root;sepal;stamen,"
Locus:2152302,AT5G38980,protein_coding,transmembrane protein;(source:Araport11),N/A,no_family,"extracellular region;plastid;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;cell-to-cell mobile RNA,"
Locus:2157200,AT5G39160,protein_coding,RmlC-like cupins superfamily protein;(source:Araport11),N/A,no_family,"biological_process;extracellular region;manganese ion binding;guard cell,"
Locus:2130175,AT4G15460,protein_coding,glycine-rich protein;(source:Araport11),N/A,no_family,"biological_process;membrane;molecular_function;petal differentiation and expansion stage;flower;sepal,"
Locus:1006230716,AT1G17285,protein_coding,transmembrane protein;(source:Araport11),N/A,no_family,"mitochondrion;molecular_function;guard cell,"
Locus:2182162,AT5G19250,protein_coding,Glycoprotein membrane precursor GPI-anchored;(source:Araport11),N/A,no_family,"extracellular region;membrane;plasma membrane;plastid;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant callus;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2128585,AT4G20420,protein_coding,Tapetum specific protein TAP35/TAP44;(source:Araport11),N/A,no_family,"cellular_component;molecular_function;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;collective leaf structure;flower;flower pedicel;guard cell;hypocotyl;plant embryo;pollen tube cell;seed;sepal;shoot apex,"
Locus:2147610,AT5G19860,protein_coding,"transmembrane protein; putative (Protein of unknown function, DUF538);(source:Araport11)",N/A,no_family,"chloroplast;plant-type vacuole;plastid;secretory vesicle;molecular_function;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2151069,AT5G26330,protein_coding,Cupredoxin superfamily protein;(source:Araport11),N/A,no_family,"plasma membrane;membrane;electron transfer activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;petal;petiole;plant embryo;root;shoot apex;shoot system;stamen;vascular leaf,"
Locus:2183134,AT5G19590,protein_coding,putative DUF538 domain-containing protein,N/A,no_family,"biological_process;chloroplast;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2827795,AT2G17850,protein_coding,Rhodanese/Cell cycle control phosphatase superfamily protein;(source:Araport11),N/A,no_family,"biological_process;chloroplast;extracellular region;catalytic activity;LP.06 six leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;vascular leaf senescent stage;carpel;collective leaf structure;flower;leaf apex;plant embryo;root;seed;shoot apex;vascular leaf,"
Locus:2018486,AT1G65720,protein_coding,transmembrane protein;(source:Araport11),N/A,no_family,"chloroplast;molecular_function;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
